hour,plan_spend,fact_spend,plan_kpi,fact_kpi,top_cap,top_spend
0,1866.01,1865.83,2.753,2,604.43,604.41
1,4038.97,4038.39,5.911,6,647.21,647.16
2,6507.06,6505.44,9.470,14,702.36,702.23
3,9208.84,9205.35,13.366,17,765.96,765.90
4,12118.74,12113.78,17.593,23,857.51,857.43
5,15143.38,15136.91,22.031,31,943.17,943.10
6,18192.96,18184.96,26.585,34,1042.49,1042.41
7,21299.28,21288.86,31.295,41,1146.48,1146.43
8,24416.25,24404.36,36.084,43,1225.55,1225.49
9,27542.36,27529.37,40.984,47,1341.09,1341.06
10,30538.57,30524.66,45.710,51,1320.12,1320.01
11,33435.43,33420.94,50.328,56,1332.01,1331.99
12,36146.46,36129.98,54.700,60,1302.46,1302.45
13,38734.50,38717.80,58.864,64,1232.84,1232.77
14,41117.79,41100.54,62.701,67,1138.95,1138.84
15,43315.00,43296.74,66.214,71,1020.92,1020.84
16,45353.58,45334.22,69.444,74,914.72,914.71
17,47240.95,47220.57,72.397,81,804.32,804.22
18,49003.15,48982.13,75.126,84,718.84,718.75
19,50665.03,50642.70,77.684,86,660.26,660.24
20,52273.14,52249.70,80.134,88,610.10,610.03
21,53857.01,53831.81,82.541,92,594.55,594.47
22,55443.49,55416.40,84.935,94,575.26,575.17
23,57142.86,57113.91,87.478,97,592.55,592.55
24,59008.86,58979.21,90.232,98,604.43,604.39
25,61181.83,61150.90,93.389,104,647.21,647.13
26,63649.92,63616.74,96.948,108,702.36,702.26
27,66351.70,66318.35,100.845,110,765.97,765.97
28,69261.60,69225.98,105.071,113,857.51,857.44
29,72286.23,72250.33,109.509,118,943.17,943.07
30,75335.82,75299.49,114.063,122,1042.50,1042.47
31,78442.14,78403.52,118.773,128,1146.48,1146.36
32,81559.11,81520.09,123.562,134,1225.55,1225.52
33,84685.22,84644.83,128.462,141,1341.09,1341.06
34,87681.43,87639.57,133.188,146,1320.13,1320.03
35,90578.29,90535.19,137.806,151,1332.02,1331.95
36,93289.32,93244.25,142.178,154,1302.46,1302.42
37,95877.36,95831.01,146.342,156,1232.84,1232.83
38,98260.64,98213.29,150.179,160,1138.96,1138.94
39,100457.86,100408.99,153.692,162,1020.92,1020.92
40,102496.43,102447.33,156.922,168,914.72,914.62
41,104383.81,104333.13,159.875,168,804.32,804.31
42,106146.01,106094.29,162.605,171,718.84,718.75
43,107807.89,107755.76,165.163,174,660.26,660.23
44,109415.99,109363.20,167.612,176,610.10,610.09
45,110999.87,110944.89,170.020,180,594.55,594.52
46,112586.35,112531.37,172.413,186,575.26,575.23
47,114285.71,114228.86,174.957,187,592.55,592.52
48,116151.72,116094.16,177.710,188,604.43,604.36
49,118324.68,118265.76,180.867,193,647.21,647.12
50,120792.78,120731.75,184.427,198,702.36,702.35
51,123494.55,123433.40,188.323,203,765.97,765.94
52,126404.45,126342.26,192.549,210,857.52,857.51
53,129429.09,129365.97,196.988,219,943.17,943.07
54,132478.68,132414.97,201.541,223,1042.50,1042.42
55,135584.99,135521.04,206.251,230,1146.49,1146.39
56,138701.96,138637.74,211.041,233,1225.55,1225.49
57,141828.07,141762.33,215.940,241,1341.10,1341.03
58,144824.29,144757.94,220.666,245,1320.13,1320.04
59,147721.14,147653.77,225.285,249,1332.02,1331.99
60,150432.17,150363.45,229.656,253,1302.46,1302.37
61,153020.22,152949.83,233.820,257,1232.84,1232.82
62,155403.50,155331.67,237.658,258,1138.96,1138.89
63,157600.71,157528.36,241.170,261,1020.93,1020.84
64,159639.29,159566.53,244.401,263,914.73,914.67
65,161526.67,161453.17,247.354,269,804.32,804.24
66,163288.87,163213.37,250.083,271,718.84,718.75
67,164950.74,164874.31,252.641,273,660.26,660.22
68,166558.85,166480.96,255.091,278,610.10,610.01
69,168142.73,168064.58,257.498,284,594.55,594.53
70,169729.20,169650.87,259.892,286,575.26,575.25
71,171428.57,171349.67,262.435,288,592.55,592.55
72,173294.58,173214.37,265.188,290,604.44,604.39
73,175467.54,175387.37,268.346,295,647.21,647.21
74,177935.63,177854.54,271.905,299,702.37,702.37
75,180637.41,180554.16,275.801,302,765.97,765.84
76,183547.31,183461.87,280.027,307,857.52,857.51
77,186571.95,186486.09,284.466,313,943.18,943.16
78,189621.53,189535.23,289.020,320,1042.50,1042.41
79,192727.85,192641.60,293.730,327,1146.49,1146.45
80,195844.82,195757.08,298.519,333,1225.56,1225.48
81,198970.93,198881.20,303.419,336,1341.10,1341.05
82,201967.15,201877.10,308.145,338,1320.13,1320.07
83,204864.00,204773.43,312.763,346,1332.02,1332.01
84,207575.03,207483.60,317.135,353,1302.47,1302.44
85,210163.08,210069.72,321.299,355,1232.85,1232.78
86,212546.36,212452.52,325.136,355,1138.96,1138.95
87,214743.57,214649.16,328.649,359,1020.93,1020.88
88,216782.15,216685.76,331.879,359,914.73,914.71
89,218669.53,218572.45,334.832,364,804.32,804.28
90,220431.73,220334.05,337.561,366,718.84,718.74
91,222093.60,221995.87,340.119,369,660.26,660.18
92,223701.71,223603.23,342.569,371,610.10,610.09
93,225285.58,225186.13,344.976,376,594.56,594.50
94,226872.06,226772.08,347.370,379,575.26,575.17
95,228571.43,228471.55,349.913,381,592.55,592.52
96,230437.43,230335.08,352.666,383,604.44,604.38
97,232610.40,232506.12,355.824,388,647.21,647.19
98,235078.49,234973.10,359.383,389,702.37,702.36
99,237780.27,237672.99,363.280,393,765.97,765.90
100,240690.17,240580.59,367.506,395,857.52,857.46
101,243714.81,243603.42,371.944,402,943.18,943.14
102,246764.39,246650.64,376.498,405,1042.51,1042.47
103,249870.71,249756.05,381.208,414,1146.49,1146.42
104,252987.68,252872.31,385.997,420,1225.56,1225.44
105,256113.79,255997.97,390.897,426,1341.11,1340.99
106,259110.00,258991.94,395.623,430,1320.14,1320.12
107,262006.86,261887.66,400.241,438,1332.03,1332.00
108,264717.89,264598.61,404.613,441,1302.47,1302.45
109,267305.93,267186.29,408.777,443,1232.85,1232.81
110,269689.22,269566.46,412.614,446,1138.97,1138.96
111,271886.43,271761.12,416.127,447,1020.93,1020.89
112,273925.01,273799.46,419.357,450,914.73,914.67
113,275812.38,275685.61,422.310,455,804.33,804.29
114,277574.58,277447.04,425.039,460,718.85,718.82
115,279236.46,279108.04,427.597,468,660.26,660.26
116,280844.56,280715.71,430.047,468,610.10,610.08
117,282428.44,282299.31,432.453,471,594.56,594.52
118,284014.92,283885.54,434.842,476,575.27,575.25
119,285714.29,285583.84,437.379,477,592.55,592.55
120,287580.29,287448.14,440.123,479,604.44,604.42
121,289753.25,289619.32,443.268,485,647.22,647.20
122,292221.35,292086.79,446.811,488,702.37,702.36
123,294923.13,294787.99,450.685,491,765.97,765.96
124,297833.03,297696.20,454.882,495,857.52,857.50
125,300857.66,300720.92,459.283,500,943.18,943.18
126,303907.25,303769.84,463.788,502,1042.51,1042.47
127,307013.56,306875.83,468.436,509,1146.50,1146.47
128,310130.54,309990.73,473.150,513,1225.57,1225.54
129,313256.65,313115.35,477.955,515,1341.11,1341.08
130,316252.86,316109.79,482.577,519,1320.14,1320.05
131,319149.72,319006.06,487.077,527,1332.03,1332.02
132,321860.75,321716.70,491.320,529,1302.48,1302.45
133,324448.79,324304.67,495.353,534,1232.85,1232.80
134,326832.07,326686.94,499.058,538,1138.97,1138.95
135,329029.28,328883.13,502.445,542,1020.94,1020.86
136,331067.86,330921.66,505.556,545,914.73,914.67
137,332955.24,332808.73,508.399,549,804.33,804.28
138,334717.44,334570.63,511.026,553,718.85,718.84
139,336379.31,336232.34,513.487,556,660.26,660.23
140,337987.42,337840.16,515.844,558,610.10,610.06
141,339571.30,339424.23,518.159,562,594.56,594.54
142,341157.78,341010.20,520.461,564,575.27,575.25
143,342857.14,342708.13,522.907,565,592.56,592.52
144,344723.15,344573.25,525.559,567,604.44,604.43
145,346896.11,346746.44,528.606,567,647.22,647.21
146,349364.21,349214.43,532.041,569,702.37,702.33
147,352065.98,351915.62,535.799,574,765.98,765.97
148,354975.88,354825.48,539.866,577,857.53,857.46
149,358000.52,357848.35,544.124,583,943.19,943.16
150,361050.11,360896.54,548.472,588,1042.51,1042.47
151,364156.42,364001.58,552.947,592,1146.50,1146.49
152,367273.39,367117.01,557.477,597,1225.57,1225.51
153,370399.50,370243.42,562.081,608,1341.11,1341.08
154,373395.72,373239.07,566.505,613,1320.14,1320.13
155,376292.57,376134.95,570.808,618,1332.03,1332.03
156,379003.60,378845.01,574.859,619,1302.48,1302.42
157,381591.65,381432.73,578.710,624,1232.86,1232.81
158,383974.93,383815.60,582.249,628,1138.97,1138.97
159,386172.14,386012.06,585.487,633,1020.94,1020.83
160,388210.72,388050.52,588.465,637,914.74,914.71
161,390098.10,389936.18,591.193,637,804.33,804.32
162,391860.30,391697.98,593.716,638,718.85,718.82
163,393522.17,393360.14,596.083,642,660.27,660.26
164,395130.28,394966.88,598.353,646,610.11,610.08
165,396714.16,396549.51,600.583,648,594.56,594.54
166,398300.63,398134.63,602.803,649,575.27,575.20
167,400000.00,399833.74,605.166,650,592.56,592.53
168,401866.01,401699.37,607.732,655,604.44,604.37
169,404038.97,403871.59,610.688,659,647.22,647.17
170,406507.06,406339.79,614.025,662,702.37,702.36
171,409208.84,409041.46,617.676,667,765.98,765.97
172,412118.74,411951.02,621.624,670,857.53,857.43
173,415143.38,414973.88,625.751,672,943.19,943.17
174,418192.96,418023.94,629.955,676,1042.51,1042.49
175,421299.28,421130.43,634.274,679,1146.50,1146.40
176,424416.25,424247.34,638.637,682,1225.57,1225.56
177,427542.36,427372.37,643.061,686,1341.11,1341.10
178,430538.57,430367.36,647.308,692,1320.15,1320.02
179,433435.43,433262.39,651.434,695,1332.04,1331.99
180,436146.46,435971.49,655.314,700,1302.48,1302.45
181,438734.50,438559.45,659.004,703,1232.86,1232.77
182,441117.79,440941.98,662.395,705,1138.98,1138.88
183,443315.00,443138.15,665.502,708,1020.94,1020.94
184,445353.58,445175.92,668.364,709,914.74,914.73
185,447240.95,447062.88,670.989,712,804.33,804.24
