hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1564.58,1563.58,2.967,2
1,3175.05,2955.83,6.011,4
2,4883.89,4592.29,9.242,11
3,6741.97,6325.86,12.758,14
4,8727.32,8087.74,16.529,14
5,10871.26,9804.34,20.619,21
6,13234.15,12047.12,25.152,22
7,15911.06,14460.08,30.326,25
8,18863.11,17192.79,36.080,31
9,22111.42,20361.30,42.446,34
10,25641.34,23879.22,49.389,43
11,29326.08,27445.56,56.668,47
12,33034.53,31161.24,63.984,55
13,36613.72,34276.23,71.055,59
14,39857.13,37527.71,77.460,67
15,42790.74,40401.65,83.252,72
16,45299.85,42916.72,88.184,76
17,47461.15,45083.11,92.409,80
18,49331.04,46855.28,96.042,86
19,51015.96,48343.46,99.300,87
20,52591.53,49922.45,102.322,88
21,54134.16,51474.32,105.272,92
22,55631.24,52776.97,108.122,95
23,57142.86,53927.86,110.993,97
24,58707.44,55120.79,113.960,98
25,60317.91,56716.45,117.005,101
26,62026.75,58220.82,120.236,102
27,63884.83,60058.88,123.751,102
28,65870.18,61922.66,127.523,108
29,68014.12,64035.64,131.612,114
30,70377.01,66444.64,136.145,121
31,73053.92,68771.87,141.319,127
32,76005.97,71318.77,147.073,129
33,79254.28,74587.34,153.439,135
34,82784.20,78127.62,160.382,141
35,86468.94,81830.26,167.661,153
36,90177.39,85556.98,174.977,161
37,93756.58,89154.30,182.048,166
38,96999.99,92414.12,188.453,171
39,99933.59,95362.28,194.245,174
40,102442.71,97883.41,199.177,178
41,104604.01,100054.68,203.403,184
42,106473.90,101929.98,207.035,186
43,108158.82,103622.15,210.293,187
44,109734.39,105193.21,213.315,189
45,111277.02,106702.62,216.265,190
46,112774.10,108110.10,219.115,194
47,114285.71,109598.70,221.986,195
48,115850.29,111109.79,224.953,199
49,117460.77,112715.16,227.998,202
50,119169.60,114449.88,231.229,203
51,121027.69,116300.36,234.745,206
52,123013.04,118333.80,238.516,211
53,125156.98,120416.69,242.606,215
54,127519.86,122822.31,247.138,217
55,130196.78,125547.28,252.312,219
56,133148.83,128667.22,258.066,227
57,136397.14,132013.11,264.432,235
58,139927.05,135577.23,271.375,246
59,143611.80,139278.89,278.654,258
60,147320.24,143004.57,285.970,261
61,150899.44,146600.67,293.034,266
62,154142.85,149859.34,299.377,270
63,157076.45,152806.60,305.068,276
64,159585.56,155327.20,309.882,280
65,161746.87,157498.24,313.984,281
66,163616.76,159364.62,317.495,285
67,165301.67,160979.82,320.634,286
68,166877.24,162554.78,323.539,289
69,168419.87,164096.79,326.369,292
70,169916.95,165424.06,329.099,292
71,171428.57,166951.03,331.845,294
72,172993.15,168515.70,334.679,298
73,174603.63,170042.76,337.586,302
74,176312.46,171705.05,340.666,305
75,178170.54,173448.66,344.015,306
76,180155.89,175457.18,347.598,308
77,182299.84,177663.76,351.471,310
78,184662.72,180098.18,355.740,312
79,187339.63,182835.31,360.582,317
80,190291.69,185799.93,365.919,320
81,193539.99,189062.85,371.771,327
82,197069.91,192609.13,378.095,334
83,200754.66,196311.11,384.655,340
84,204463.10,200037.24,391.189,348
85,208042.30,203633.53,397.443,351
86,211285.70,206892.54,403.062,355
87,214219.31,209840.33,408.109,360
88,216728.42,212361.30,412.389,367
89,218889.72,214532.48,416.049,373
90,220759.61,216395.32,419.192,377
91,222444.53,218079.25,422.010,379
92,224020.10,219638.75,424.627,380
93,225562.73,221183.53,427.184,384
94,227059.81,222671.35,429.660,386
95,228571.43,224182.27,432.159,388
96,230136.01,225740.98,434.745,391
97,231746.48,227350.82,437.410,393
98,233455.32,229044.50,440.240,396
99,235313.40,230910.32,443.325,400
100,237298.75,232944.20,446.627,401
101,239442.69,235029.04,450.194,406
102,241805.58,237498.01,454.114,408
103,244482.49,240269.39,458.541,410
104,247434.54,243330.94,463.396,421
105,250682.85,246593.19,468.704,430
106,254212.77,250138.37,474.426,439
107,257897.51,253839.42,480.352,442
108,261605.96,257564.18,486.259,447
109,265185.15,261159.15,491.915,454
110,268428.56,264416.73,497.006,459
111,271362.17,267363.16,501.587,464
112,273871.28,269853.45,505.483,465
113,276032.58,271974.30,508.827,470
