hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,2869.18,2867.78,4.845,4
1,5779.60,5776.81,9.741,6
2,8548.55,8542.29,14.345,15
3,11130.66,11122.40,18.559,17
4,13625.01,13616.15,22.562,21
5,16094.40,16083.27,26.467,26
6,18618.59,18603.94,30.425,28
7,21181.28,21166.39,34.408,33
8,23794.26,23776.21,38.464,35
9,26393.04,26373.04,42.479,40
10,29004.65,28984.24,46.512,47
11,31564.66,31541.77,50.469,50
12,33998.53,33972.71,54.243,52
13,36358.55,36329.67,57.934,54
14,38558.08,38526.05,61.393,58
15,40629.40,40596.29,64.673,61
16,42613.15,42578.70,67.844,62
17,44484.71,44448.66,70.851,66
18,46314.12,46276.82,73.807,71
19,48159.41,48121.07,76.811,74
20,50065.31,50024.66,79.936,76
21,52131.39,52089.17,83.355,81
22,54490.17,54445.53,87.303,84
23,57142.86,57095.60,91.775,87
24,60012.04,59961.81,96.619,89
25,62922.46,62869.21,101.516,92
26,65691.40,65636.39,106.119,93
27,68273.52,68215.28,110.334,96
28,70767.86,70706.78,114.337,102
29,73237.26,73174.58,118.242,106
30,75761.45,75697.80,122.199,112
31,78324.14,78259.20,126.183,115
32,80937.12,80871.83,130.238,119
33,83535.89,83467.50,134.254,122
34,86147.51,86075.98,138.287,126
35,88707.52,88632.71,142.244,134
36,91141.39,91063.83,146.018,136
37,93501.41,93421.75,149.709,138
38,95700.94,95619.35,153.167,140
39,97772.25,97687.72,156.448,141
40,99756.00,99670.31,159.619,145
41,101627.57,101538.62,162.626,149
42,103456.98,103367.22,165.582,152
43,105302.26,105210.84,168.586,158
44,107208.17,107113.90,171.711,159
45,109274.25,109177.82,175.129,162
46,111633.03,111534.42,179.077,166
47,114285.71,114184.94,183.550,167
48,117154.90,117053.09,188.394,175
49,120065.32,119961.65,193.290,177
50,122834.26,122727.51,197.894,180
51,125416.38,125307.81,202.109,184
52,127910.72,127800.68,206.111,190
53,130380.12,130268.22,210.017,193
54,132904.31,132789.32,213.974,196
55,135466.99,135350.86,217.958,198
56,138079.97,137961.50,222.013,204
57,140678.75,140558.14,226.029,208
58,143290.37,143167.99,230.062,214
59,145850.38,145725.81,234.019,219
60,148284.24,148158.69,237.792,225
61,150644.27,150517.84,241.483,227
62,152843.79,152714.84,244.942,229
63,154915.11,154783.47,248.223,235
