hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1980.80,1978.57,3.405,2
1,4090.75,4554.80,6.987,5
2,6363.14,7461.24,10.804,15
3,8822.30,10625.80,14.904,19
4,11476.96,13995.71,19.328,27
5,14316.32,17461.49,24.090,32
6,17309.71,20879.96,29.180,38
7,20409.49,24106.25,34.552,46
8,23555.96,27057.58,40.126,47
9,26683.27,29759.49,45.788,53
10,29726.20,32169.76,51.401,58
11,32627.76,34314.69,56.826,59
12,35346.81,36324.46,61.945,60
13,37863.74,38207.87,66.685,61
14,40181.93,40023.15,71.026,65
15,42324.19,41795.66,74.999,69
16,44325.30,43551.84,78.666,70
17,46223.41,45300.68,82.108,74
18,48055.77,47057.35,85.400,81
19,49851.21,48830.45,88.604,85
20,51635.53,50637.85,91.771,88
21,53429.72,52509.68,94.938,92
22,55256.07,54489.69,98.141,95
23,57142.86,56633.64,101.420,96
24,59123.66,59006.20,104.825,98
25,61233.60,61658.54,108.407,101
26,63506.00,64604.59,112.224,104
27,65965.16,67787.03,116.324,108
28,68619.82,70758.87,120.748,115
29,71459.18,73680.57,125.510,117
30,74452.57,76871.58,130.600,125
31,77552.35,79993.07,135.972,128
32,80698.81,83014.98,141.546,132
33,83826.13,85951.34,147.208,136
34,86869.06,88743.07,152.821,141
35,89770.61,91369.59,158.246,147
36,92489.67,93771.48,163.365,149
37,95006.60,95959.39,168.105,150
38,97324.79,97988.74,172.446,152
39,99467.05,99925.55,176.419,154
40,101468.16,101780.28,180.086,159
41,103366.27,103592.33,183.528,162
42,105198.63,105382.00,186.820,166
43,106994.07,107162.69,190.024,173
44,108778.39,108955.97,193.191,174
45,110572.58,110783.08,196.358,176
46,112398.92,112681.13,199.561,178
47,114285.71,114694.39,202.840,178
48,116266.52,116870.86,206.245,183
49,118376.46,119267.18,209.827,184
50,120648.85,121901.27,213.643,188
51,123108.01,124725.41,217.744,194
52,125762.68,127763.07,222.168,201
53,128602.04,130916.21,226.930,205
54,131595.42,134119.66,232.020,211
55,134695.20,137261.60,237.392,216
56,137841.67,140295.82,242.966,223
57,140968.98,143197.02,248.628,227
58,144011.91,145941.03,254.241,232
59,146913.47,148516.34,259.666,235
60,149632.52,150888.94,264.785,242
61,152149.45,153089.76,269.525,244
62,154467.65,155139.94,273.866,245
63,156609.91,157084.32,277.838,250
64,158611.02,158955.38,281.506,256
65,160509.12,160768.35,284.948,261
66,162341.49,162554.68,288.240,264
67,164136.93,164335.72,291.444,266
68,165921.25,166131.97,294.611,276
69,167715.43,167970.21,297.778,277
70,169541.78,169883.54,300.981,279
71,171428.57,171920.67,304.260,289
72,173409.37,174139.65,307.664,293
73,175519.32,176584.47,311.247,297
74,177791.71,179270.25,315.063,301
75,180250.87,182202.01,319.164,306
76,182905.53,185332.85,323.587,312
77,185744.89,188547.45,328.350,319
78,188738.28,191783.87,333.439,323
79,191838.06,194945.51,338.812,327
80,194984.53,197957.20,344.386,336
81,198111.84,200783.47,350.048,340
82,201154.77,203412.60,355.661,348
83,204056.33,205850.42,361.086,354
84,206775.38,208118.72,366.205,354
85,209292.31,210240.67,370.945,356
86,211610.50,212236.41,375.286,360
87,213752.76,214148.13,379.258,365
88,215753.87,215993.32,382.926,374
89,217651.98,217792.77,386.368,376
90,219484.34,219574.58,389.653,378
91,221279.78,221352.96,392.845,380
92,223064.10,223151.09,395.994,381
93,224858.29,224994.72,399.138,385
94,226684.64,226922.88,402.311,389
95,228571.43,228980.03,405.556,391
96,230552.23,231215.64,408.920,395
97,232662.17,233666.37,412.456,397
98,234934.57,236363.29,416.218,405
99,237393.73,239309.12,420.257,405
100,240048.39,242429.10,424.606,418
101,242887.75,245654.41,429.278,427
102,245881.14,248883.46,434.258,433
103,248980.92,252043.27,439.495,438
104,252127.39,255059.54,444.904,442
105,255254.70,257891.74,450.369,450
106,258297.63,260529.14,455.757,456
107,261199.19,262968.70,460.936,460
108,263918.24,265236.56,465.798,463
109,266435.17,267358.03,470.281,467
110,268753.36,269360.32,474.375,471
111,270895.62,271265.58,478.113,473
112,272896.73,273106.18,481.562,477
113,274794.84,274903.51,484.795,478
114,276627.20,276682.09,487.886,478
115,278422.64,278461.28,490.893,480
116,280206.96,280258.67,493.861,483
117,282001.15,282101.87,496.828,486
118,283827.50,284026.62,499.826,490
119,285714.29,286080.49,502.895,491
120,287695.09,288314.08,506.084,494
121,289805.03,290771.87,509.442,501
