hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1980.80,1978.57,3.405,2
1,4090.75,4086.45,6.987,4
2,6363.14,6357.65,10.804,9
3,8822.30,8815.07,14.904,10
4,11476.96,11466.41,19.328,14
5,14316.32,14303.24,24.090,22
6,17309.71,17295.76,29.180,24
7,20409.49,20393.65,34.552,30
8,23555.96,23537.72,40.126,33
9,26683.27,26663.29,45.788,36
10,29726.20,29703.87,51.401,41
11,32627.76,32604.15,56.826,42
12,35346.81,35320.99,61.945,44
13,37863.74,37836.69,66.685,44
14,40181.93,40151.87,71.026,48
15,42324.19,42291.64,74.999,50
16,44325.30,44289.85,78.666,51
17,46223.41,46185.59,82.108,52
18,48055.77,48016.08,85.400,58
19,49851.21,49810.19,88.604,60
20,51635.53,51592.28,91.771,61
21,53429.72,53385.79,94.938,65
22,55256.07,55157.97,98.141,68
23,57142.86,56864.76,101.420,69
24,59123.66,58709.46,104.825,70
25,61233.60,60817.92,108.407,72
26,63506.00,63090.14,112.224,72
27,65965.16,65545.76,116.324,72
28,68619.82,68199.29,120.748,79
29,71459.18,71037.71,125.510,81
30,74452.57,74030.62,130.600,88
31,77552.35,77129.71,135.972,92
32,80698.81,80274.92,141.546,93
33,83826.13,83399.15,147.208,96
34,86869.06,86440.68,152.821,100
35,89770.61,89339.97,158.246,108
36,92489.67,92057.67,163.365,111
37,95006.60,94572.53,168.105,113
38,97324.79,96889.99,172.446,116
39,99467.05,99031.63,176.419,117
40,101468.16,101030.63,180.086,120
41,103366.27,102928.53,183.528,125
42,105198.63,104759.89,186.820,126
43,106994.07,106553.53,190.024,126
44,108778.39,108336.69,193.191,126
45,110572.58,110130.43,196.358,127
46,112398.92,111935.63,199.561,130
47,114285.71,113805.60,202.840,131
48,116266.52,115784.16,206.245,135
49,118376.46,117892.02,209.827,136
50,120648.85,120161.15,213.643,138
51,123108.01,122618.15,217.744,142
52,125762.68,125270.54,222.168,149
53,128602.04,128107.63,226.930,155
54,131595.42,131099.94,232.020,157
55,134695.20,134198.59,237.392,161
56,137841.67,137343.95,242.966,165
57,140968.98,140469.52,248.628,170
58,144011.91,143510.79,254.241,177
59,146913.47,146409.65,259.666,185
60,149632.52,149127.90,264.785,190
61,152149.45,151644.13,269.525,194
62,154467.65,153961.88,273.866,195
63,156609.91,156102.61,277.838,200
64,158611.02,158103.24,281.506,204
65,160509.12,160000.84,284.948,205
66,162341.49,161830.15,288.240,208
67,164136.93,163624.33,291.444,209
68,165921.25,165407.21,294.611,215
69,167715.43,167199.77,297.778,217
70,169541.78,168856.61,300.981,219
71,171428.57,170742.23,304.260,225
72,173409.37,172722.22,307.664,229
73,175519.32,174829.47,311.247,234
74,177791.71,177100.42,315.063,238
75,180250.87,179558.47,319.164,240
76,182905.53,182212.16,323.587,244
77,185744.89,185050.15,328.350,248
78,188738.28,188042.30,333.439,251
79,191838.06,191141.17,338.812,254
80,194984.53,194286.65,344.386,260
81,198111.84,197413.71,350.048,264
82,201154.77,200454.22,355.661,273
83,204056.33,203355.18,361.086,277
84,206775.38,206072.91,366.205,280
85,209292.31,208587.55,370.945,282
86,211610.50,210904.60,375.286,284
87,213752.76,213045.53,379.258,287
88,215753.87,215044.77,382.926,294
89,217651.98,216941.48,386.368,297
90,219484.34,218771.83,389.653,300
91,221279.78,220566.17,392.845,300
92,223064.10,222348.25,395.994,301
93,224858.29,224141.54,399.138,307
94,226684.64,225966.31,402.311,307
95,228571.43,227852.06,405.556,309
96,230552.23,229831.68,408.920,311
97,232662.17,231939.09,412.456,311
98,234934.57,234209.95,416.218,317
99,237393.73,236667.69,420.257,318
100,240048.39,239320.88,424.606,323
101,242887.75,242159.52,429.278,327
102,245881.14,245150.83,434.258,330
103,248980.92,248248.40,439.495,332
104,252127.39,251393.59,444.904,339
105,255254.70,254520.27,450.369,347
106,258297.63,257562.60,455.757,352
107,261199.19,260463.00,460.936,354
108,263918.24,263179.92,465.798,358
109,266435.17,265695.64,470.281,362
110,268753.36,268011.82,474.375,366
111,270895.62,270153.34,478.113,369
112,272896.73,272152.88,481.562,371
113,274794.84,274049.44,484.795,372
114,276627.20,275879.58,487.886,373
115,278422.64,277673.14,490.893,375
116,280206.96,279456.44,493.861,377
117,282001.15,281249.57,496.828,379
118,283827.50,283074.89,499.826,384
119,285714.29,284961.21,502.895,385
120,287695.09,286941.79,506.084,386
121,289805.03,289048.81,509.442,389
122,292077.43,291318.48,513.023,391
123,294536.58,293774.77,516.872,393
124,297191.25,296426.58,521.019,397
125,300030.61,299264.47,525.472,398
126,303024.00,302256.74,530.208,401
127,306123.77,305354.34,535.174,406
128,309270.24,308499.34,540.286,409
129,312397.55,311624.20,545.434,410
130,315440.49,314664.98,550.495,415
131,318342.04,317564.44,555.350,418
132,321061.10,320281.74,559.904,420
133,323578.03,322798.33,564.104,422
134,325896.22,325115.17,567.944,424
135,328038.48,327255.89,571.458,430
136,330039.59,329256.47,574.706,433
137,331937.69,331152.95,577.758,435
138,333770.06,332983.97,580.681,437
139,335565.50,334778.83,583.527,440
